,AGE7,GENDER,RACETH,HHINCOME,EDUCATION,HHSIZE1,HH01S,HH25S,HH612S,HH1317S,HH18OVS,SOC2A,SOC2B,SOC5A,SOC5B,SOC5C,SOC5D,SOC5E,ECON1,PHYS8,PHYS4,PHYS5,PHYS1B,PHYS1C,PHYS1D,PHYS1E,PHYS1F,PHYS1G,PHYS1H,PHYS1I,PHYS1J,PHYS11,PHYS11_TEMP
0,4,2,2,3,7,3,0,0,0,0,3,2,2,1,2,1,4,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,97.5
1,7,1,14,7,5,3,0,0,0,0,3,5,3,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,96.1
2,1,1,10,8,5,6,1,2,0,0,3,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,
3,5,1,1,6,5,4,0,0,1,1,2,1,4,2,3,1,4,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,98.6
4,6,1,9,5,99,99,0,0,0,0,1,2,5,4,1,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,107.0
