,Unnamed: 0,SU_ID,P_PANEL,NATIONAL_WEIGHT,REGION_WEIGHT,NATIONAL_WEIGHT_POP,REGION_WEIGHT_POP,P_GEO,SOC1,SOC2A,SOC2B,SOC3A,SOC3B,SOC4A,SOC4B,PHYS8,PHYS1A,PHYS1B,PHYS1C,PHYS1D,PHYS1E,PHYS1F,PHYS1G,PHYS1H,PHYS1I,PHYS1J,PHYS1K,PHYS1L,PHYS1M,PHYS1N,PHYS1O,PHYS1P,PHYS1Q,SOC5A,SOC5B,SOC5C,SOC5D,SOC5E,PHYS2_1,PHYS2_2,PHYS2_3,PHYS2_4,PHYS2_5,PHYS2_6,PHYS2_7,PHYS2_8,PHYS2_9,PHYS2_10,PHYS2_11,PHYS2_12,PHYS2_13,PHYS2_14,PHYS2_15,PHYS2_16,PHYS2_17,PHYS2_18,PHYS2_19,PHYS2_DK,PHYS2_SKP,PHYS2_REF,PHYS10A,PHYS10B,PHYS10C,PHYS10D,PHYS10E,ECON8A,ECON8B,ECON8C,ECON8D,ECON8E,ECON8F,ECON8G,ECON8H,ECON8I,ECON8J,ECON8K,ECON8L,ECON8M,ECON8N,ECON8O,ECON8P,ECON8Q,ECON8R,ECON8S,ECON7_1,ECON7_2,ECON7_3,ECON7_4,ECON7_5,ECON7_6,ECON7_7,ECON7_8,ECON7_DK,ECON7_SKP,ECON7_REF,ECON1,ECON2,ECON4,ECON3,ECON4A,ECON4B,ECON6A,ECON6B,ECON6C,ECON6D,ECON6E,ECON6F,ECON6G,ECON6H,ECON6I,ECON6J,ECON6K,ECON6L,ECON5A_A,ECON5A_B,PHYS7_1,PHYS7_2,PHYS7_3,PHYS7_4,PHYS7_DK,PHYS7_SKP,PHYS7_REF,PHYS11,PHYS11_TEMP,PHYS9A,PHYS9B,PHYS9C,PHYS9D,PHYS9E,PHYS9F,PHYS9G,PHYS9H,PHYS3A,PHYS3B,PHYS3C,PHYS3D,PHYS3E,PHYS3F,PHYS3G,PHYS3H,PHYS3I,PHYS3J,PHYS3K,PHYS3L,PHYS3M,PHYS4,PHYS5,PHYS6,AGE4,AGE7,GENDER,RACETH,RACE_R2,HHINCOME,EDUCATION,EDUC4,P_OCCUPY2,HHSIZE1,HH01S,HH25S,HH612S,HH1317S,HH18OVS,REGION4,REGION9,P_DENSE,MODE,LANGUAGE,MAIL50,RACE1_BANNER,RACE2_BANNER,INC_BANNER,AGE_BANNER,HH_BANNER
10,11,20013534,ABS,,0.5699970323,,6154.7899548,Louisiana,3,2,2,1,1,2,2,1,77,2,1,2,77,2,2,2,2,2,2,77,2,2,1,2,2,1,2,2,2,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,10,,10,2,2,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,4,6,1,1,1,"$50,000 to under $75,000",3,3,,2,0,0,0,0,2,3,7,3,2,1,2,1,,3,3,2
11,12,20014929,ABS,,0.6643415527,,1329.8226577,Montana,4,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,5,5,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,50,,50,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,5,1,88,1,"$50,000 to under $75,000",3,3,,2,0,0,0,0,2,4,8,1,2,1,1,88,,2,2,2
12,13,20016311,ABS,,0.6665810012,,22483.01329,New York,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,3,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,4,4,4,3,3,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,,2,0,5,5,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,6,1,1,1,"$50,000 to under $75,000",3,3,,1,0,0,0,0,1,1,2,3,2,1,3,1,,3,3,1
13,14,20018085,ABS,,0.3595219303,,3747.095747,Colorado,3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,3,1,4,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,50,,55,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,5,1,1,1,"$150,000 or more",7,4,,2,0,0,0,0,2,4,8,3,2,1,3,1,,4,2,2
14,15,20020613,ABS,,2.1001744656,,120591.19133,Texas,1,2,2,3,2,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,3,,2,0,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,2,1,1,"$50,000 to under $75,000",2,2,,1,0,0,0,0,1,3,7,3,2,1,2,1,,2,3,1
15,16,20021039,ABS,,0.9219063154,,13399.273956,Missouri,98,3,5,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4,4,4,4,4,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,3,12,98,98,98,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,0,0,1,0,1,98,1,98,98,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,98,3,4,1,88,2,"$30,000 to under $40,000",3,3,,2,0,0,0,0,2,2,4,2,2,1,3,88,,2,2,2
16,17,20021836,ABS,,1.6240508219,,16926.572248,Colorado,3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,2,4,2,2,2,2,2,2,2,2,2,2,1,77,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,45,,45,2,2,4,4,4,4,4,4,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.6,1,2,2,2,2,2,2,2,77,77,77,77,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,"$75,000 to under $100,000",5,4,,2,0,0,0,0,2,4,8,3,2,1,3,1,,3,2,2
17,18,20026511,ABS,,1.6024169672,,3700.2135307,"Birmingham-Hoover, Alabama",3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,5,5,5,5,4,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,10,,16,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,"$100,000 to under $150,000",2,2,,5,0,0,2,1,2,3,6,3,2,1,2,1,,3,2,4
18,19,20031974,ABS,,0.3452588593,,2690.2772937,Oregon,2,3,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,2,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,2,2,3,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,,2,5,5,5,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.8,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,7,1,88,1,"$75,000 to under $100,000",7,4,,2,0,0,0,0,2,4,9,3,2,1,1,88,,3,3,2
19,20,20032313,ABS,,0.6837968412,,2849.6892332,"Columbus, Ohio",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,5,5,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,,2,0,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,98,1,98,98,1,98,98,98,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,4,7,1,1,1,"$75,000 to under $100,000",6,4,,2,0,0,0,0,2,2,3,3,2,1,1,1,,3,3,2
20,21,20032720,ABS,,0.5126170166,,17289.984525,New York,2,4,3,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,2,,,30,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.7,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,4,1,1,1,"$100,000 to under $150,000",5,4,,3,0,0,0,0,3,1,2,3,2,1,3,1,,4,2,5
21,22,20034996,ABS,,1.3156132611,,13711.900278,Colorado,1,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,5,5,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,25,,45,1,1,4,4,4,4,1,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,5,1,2,2,"$50,000 to under $75,000",5,4,,4,0,0,1,1,2,4,8,3,2,1,3,2,,2,2,3
22,23,20041071,ABS,,1.5433684296,,24512.117585,"Chicago-Naperville-Elgin, Illinois-Indiana-Wisconsin",2,3,3,1,2,2,2,3,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,45,,45,1,1,4,4,98,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,1,0,2,,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,3,4,1,2,2,"$75,000 to under $100,000",3,3,,3,0,0,0,1,2,2,3,3,2,1,2,2,,3,2,3
23,24,20041509,ABS,,3.1579301612,,16867.865725,"Baltimore-Columbia-Towson, Maryland",1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,37,,60,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.6,1,98,98,98,2,2,2,2,77,77,77,77,77,77,77,77,77,77,77,77,77,2,98,2,3,4,1,2,2,"$75,000 to under $100,000",6,4,,5,0,0,0,1,4,3,5,3,2,1,2,2,,3,2,3
24,25,20041516,ABS,,0.1811717022,,837.99874888,"Pittsburgh, Pennsylvania",3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,98,1,98,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,,,50,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,2,2,2,"$150,000 or more",5,4,,3,0,0,0,0,3,1,2,3,2,1,1,2,,4,2,5
25,26,20042413,ABS,,0.9960912226,,7761.6012628,Oregon,2,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,36,,40,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,88,1,"$75,000 to under $100,000",5,4,,2,0,0,0,0,2,4,9,2,2,1,1,88,,3,2,2
